CensusTract,State,County,Pop2010,LILATracts_1And10,LALOWI1_10,TractLOWI
12009064901,Florida,Brevard County,6764,0,0,2151
12009064902,Florida,Brevard County,3300,1,525,2547
12009065001,Florida,Brevard County,2455,0,231,653
12009065021,Florida,Brevard County,9906,0,232,2655
12009065022,Florida,Brevard County,4758,0,784,1423
12009065121,Florida,Brevard County,6262,0,102,3019
12009065122,Florida,Brevard County,6864,0,40,3194
12009065123,Florida,Brevard County,3644,1,639,2205
12009065124,Florida,Brevard County,2486,1,408,1365
12009065125,Florida,Brevard County,5788,0,0,2065
12009065201,Florida,Brevard County,5447,0,1496,1642
12009065202,Florida,Brevard County,5182,0,263,1372
12009065231,Florida,Brevard County,5492,0,NULL,1621
12009065234,Florida,Brevard County,3646,0,NULL,1514
12009065235,Florida,Brevard County,5430,1,1528,1859
12009065236,Florida,Brevard County,1513,0,NULL,243
12009066101,Florida,Brevard County,4047,0,63,576
12009066103,Florida,Brevard County,1908,0,346,424
12009066104,Florida,Brevard County,4718,0,764,920
12009066200,Florida,Brevard County,2603,0,326,419
12009066301,Florida,Brevard County,6292,0,371,1396
12009066302,Florida,Brevard County,4201,0,507,562
12009066400,Florida,Brevard County,4994,0,0,963
12009066500,Florida,Brevard County,3319,0,685,1250
12009066600,Florida,Brevard County,4253,0,493,498
12009066700,Florida,Brevard County,4696,0,16,430
12009066800,Florida,Brevard County,1396,0,3,414
12009066900,Florida,Brevard County,6084,0,640,1050
12009067100,Florida,Brevard County,1222,1,593,635
12009068101,Florida,Brevard County,2000,1,651,775
12009068102,Florida,Brevard County,3300,0,NULL,447
12009068200,Florida,Brevard County,2830,0,376,679
12009068300,Florida,Brevard County,2625,0,62,610
12009068400,Florida,Brevard County,2142,0,0,396
12009068501,Florida,Brevard County,2226,0,5,607
12009068502,Florida,Brevard County,2590,0,1,949
12009068601,Florida,Brevard County,1892,0,433,520
12009068602,Florida,Brevard County,3803,0,977,1414
12009069100,Florida,Brevard County,4568,0,NULL,892
12009069200,Florida,Brevard County,2382,0,7,759
12009069300,Florida,Brevard County,2983,0,381,1113
12009069400,Florida,Brevard County,6113,0,611,676
12009069700,Florida,Brevard County,2215,0,0,1238
12009069801,Florida,Brevard County,3520,0,51,544
12009069802,Florida,Brevard County,4156,0,0,1913
12009069901,Florida,Brevard County,7926,0,1342,1373
12009069902,Florida,Brevard County,4391,1,290,1772
12009071100,Florida,Brevard County,3880,0,32,1098
12009071200,Florida,Brevard County,12889,0,2351,3178
12009071301,Florida,Brevard County,4294,0,564,940
12009071322,Florida,Brevard County,9330,1,2215,4402
12009071332,Florida,Brevard County,12092,0,NULL,6248
12009071334,Florida,Brevard County,8564,0,1203,4173
12009071335,Florida,Brevard County,4755,0,239,922
12009071336,Florida,Brevard County,6849,1,1037,2708
12009071337,Florida,Brevard County,7216,1,802,3473
12009071338,Florida,Brevard County,8265,0,2861,3626
12009071339,Florida,Brevard County,6760,0,2231,2460
12009071340,Florida,Brevard County,12266,0,2751,4135
12009071400,Florida,Brevard County,3155,1,622,1719
12009071500,Florida,Brevard County,2588,0,406,736
12009071600,Florida,Brevard County,4415,1,358,1265
12009980000,Florida,Brevard County,7,0,0,0
12011010102,Florida,Broward County,3229,0,NULL,719
12011010103,Florida,Broward County,3491,0,NULL,750
12011010104,Florida,Broward County,2263,0,4,437
12011010200,Florida,Broward County,6063,0,NULL,2294
12011010304,Florida,Broward County,3321,0,NULL,2100
12011010305,Florida,Broward County,4626,1,682,2274
12011010306,Florida,Broward County,2365,0,NULL,1386
12011010307,Florida,Broward County,4463,0,NULL,1832
12011010308,Florida,Broward County,4412,0,NULL,925
12011010401,Florida,Broward County,4724,0,0,1066
12011010402,Florida,Broward County,3551,0,0,1686
12011010403,Florida,Broward County,4712,0,NULL,1959
12011010405,Florida,Broward County,6577,1,288,2874
12011010406,Florida,Broward County,3824,0,758,1118
12011010407,Florida,Broward County,5257,0,21,1923
12011010502,Florida,Broward County,2986,0,NULL,833
12011010503,Florida,Broward County,11237,0,571,1585
12011010504,Florida,Broward County,5659,0,116,958
12011010601,Florida,Broward County,8236,0,176,1054
12011010603,Florida,Broward County,5213,0,NULL,1087
12011010604,Florida,Broward County,4070,0,0,993
12011010605,Florida,Broward County,6515,0,202,366
12011010606,Florida,Broward County,5670,0,NULL,1426
12011010607,Florida,Broward County,9802,0,108,1935
12011010609,Florida,Broward County,3742,0,NULL,1065
12011010610,Florida,Broward County,6968,0,467,2609
12011010611,Florida,Broward County,4241,0,NULL,273
12011010612,Florida,Broward County,6192,0,17,708
12011010701,Florida,Broward County,5219,0,NULL,3079
12011010702,Florida,Broward County,7944,0,NULL,5406
12011010800,Florida,Broward County,6199,0,NULL,3138
12011010901,Florida,Broward County,2349,0,NULL,425
12011010902,Florida,Broward County,2968,0,NULL,389
12011011000,Florida,Broward County,1875,0,20,270
12011020101,Florida,Broward County,7433,0,3,2350
12011020103,Florida,Broward County,5713,0,76,2740
12011020104,Florida,Broward County,2667,0,NULL,1248
12011020204,Florida,Broward County,5698,0,92,1319
12011020205,Florida,Broward County,6466,0,7,1676
12011020206,Florida,Broward County,4311,0,275,2156
12011020207,Florida,Broward County,5648,0,198,2259
12011020209,Florida,Broward County,2534,0,NULL,879
12011020210,Florida,Broward County,5914,0,NULL,2161
12011020211,Florida,Broward County,2315,0,NULL,1097
12011020212,Florida,Broward County,3223,0,NULL,1295
12011020302,Florida,Broward County,6982,0,NULL,3256
12011020308,Florida,Broward County,5410,0,NULL,3094
12011020309,Florida,Broward County,5522,0,NULL,910
12011020311,Florida,Broward County,3297,0,NULL,1076
12011020312,Florida,Broward County,5003,0,32,1176
12011020313,Florida,Broward County,6145,0,NULL,2819
12011020314,Florida,Broward County,5032,0,NULL,1855
12011020315,Florida,Broward County,4903,0,0,1329
12011020316,Florida,Broward County,4129,0,NULL,1409
12011020317,Florida,Broward County,3068,0,NULL,1091
12011020318,Florida,Broward County,8850,0,205,1272
12011020319,Florida,Broward County,6046,0,NULL,1302
12011020320,Florida,Broward County,4982,0,NULL,1541
12011020321,Florida,Broward County,1819,0,NULL,137
12011020322,Florida,Broward County,3172,0,NULL,343
12011020323,Florida,Broward County,3652,0,NULL,1728
12011020324,Florida,Broward County,5866,0,NULL,2907
12011020325,Florida,Broward County,3235,0,NULL,1048
12011020326,Florida,Broward County,5713,0,0,2996
12011020404,Florida,Broward County,8355,0,NULL,3786
12011020405,Florida,Broward County,5166,0,3,2689
12011020406,Florida,Broward County,7242,0,NULL,2583
12011020407,Florida,Broward County,7106,0,NULL,3655
12011020409,Florida,Broward County,7483,0,1472,2021
12011020411,Florida,Broward County,6241,0,NULL,1823
12011020412,Florida,Broward County,3487,0,NULL,2237
12011020413,Florida,Broward County,7622,0,NULL,3567
12011020414,Florida,Broward County,4288,0,0,1043
12011020415,Florida,Broward County,3383,0,18,1126
12011020501,Florida,Broward County,5086,0,NULL,2281
12011020502,Florida,Broward County,6818,0,56,3436
12011030100,Florida,Broward County,4004,0,NULL,557
12011030201,Florida,Broward County,3838,0,NULL,1946
12011030202,Florida,Broward County,1550,0,NULL,964
12011030203,Florida,Broward County,4058,0,NULL,2385
12011030301,Florida,Broward County,2641,0,NULL,1832
12011030302,Florida,Broward County,7134,0,NULL,5637
12011030401,Florida,Broward County,3017,1,714,1801
12011030402,Florida,Broward County,3584,0,NULL,2642
12011030500,Florida,Broward County,4686,0,68,3305
12011030600,Florida,Broward County,8694,1,1818,2700
12011030702,Florida,Broward County,3107,0,159,849
12011030703,Florida,Broward County,4286,1,626,1867
12011030704,Florida,Broward County,4908,0,502,818
12011030705,Florida,Broward County,3459,0,457,1583
12011030801,Florida,Broward County,7181,0,222,6027
12011030802,Florida,Broward County,6241,0,273,2267
12011030902,Florida,Broward County,3515,0,NULL,480
12011030903,Florida,Broward County,3496,0,NULL,1831
12011030904,Florida,Broward County,4499,0,NULL,605
12011031001,Florida,Broward County,2511,0,NULL,928
12011031002,Florida,Broward County,4212,0,NULL,1561
12011031101,Florida,Broward County,2300,0,NULL,351
12011031102,Florida,Broward County,3542,0,NULL,878
12011031202,Florida,Broward County,6136,0,0,1026
12011031203,Florida,Broward County,1288,0,77,246
12011031204,Florida,Broward County,2870,1,224,915
12011031205,Florida,Broward County,1739,0,10,365
12011040101,Florida,Broward County,1298,0,NULL,476
12011040102,Florida,Broward County,2826,0,NULL,526
12011040203,Florida,Broward County,1761,0,NULL,259
12011040204,Florida,Broward County,2890,0,NULL,368
12011040205,Florida,Broward County,4742,0,NULL,957
12011040206,Florida,Broward County,2802,0,NULL,467
12011040300,Florida,Broward County,3938,0,NULL,1471
12011040401,Florida,Broward County,2174,0,NULL,310
12011040402,Florida,Broward County,2879,0,NULL,597
12011040502,Florida,Broward County,3381,0,14,390
12011040503,Florida,Broward County,2234,0,NULL,475
12011040504,Florida,Broward County,3855,0,NULL,403
12011040601,Florida,Broward County,3729,0,NULL,403
12011040602,Florida,Broward County,2992,0,NULL,590
12011040701,Florida,Broward County,2722,0,NULL,571
12011040702,Florida,Broward County,3565,0,NULL,1666
12011040801,Florida,Broward County,4988,0,NULL,2504
12011040802,Florida,Broward County,4254,0,NULL,2082
12011040901,Florida,Broward County,4621,0,NULL,3505
12011040902,Florida,Broward County,3403,0,NULL,2299
12011041000,Florida,Broward County,2741,1,521,1770
12011041100,Florida,Broward County,4580,0,43,2731
12011041200,Florida,Broward County,4497,0,1,2656
12011041300,Florida,Broward County,6912,0,NULL,6520
12011041400,Florida,Broward County,2682,0,NULL,2589
12011041500,Florida,Broward County,3241,0,NULL,3586
12011041600,Florida,Broward County,5572,0,NULL,3626
12011041700,Florida,Broward County,3797,0,NULL,2929
12011041801,Florida,Broward County,1787,0,NULL,384
12011041802,Florida,Broward County,3123,0,NULL,949
12011041900,Florida,Broward County,3467,0,NULL,631
12011042000,Florida,Broward County,3392,0,244,371
12011042100,Florida,Broward County,2683,0,136,497
12011042200,Florida,Broward County,2699,0,298,372
12011042301,Florida,Broward County,3929,0,10,1020
12011042302,Florida,Broward County,1215,0,NULL,500
12011042400,Florida,Broward County,1296,0,NULL,236
12011042500,Florida,Broward County,6890,0,NULL,1498
12011042600,Florida,Broward County,5289,0,NULL,1868
12011042700,Florida,Broward County,4980,1,442,2629
12011042800,Florida,Broward County,7372,0,NULL,3308
12011042900,Florida,Broward County,7107,0,NULL,4871
12011043001,Florida,Broward County,1405,0,23,169
12011043002,Florida,Broward County,6637,0,NULL,3402
12011043100,Florida,Broward County,4659,0,19,1208
12011043301,Florida,Broward County,4493,0,NULL,1615
12011043302,Florida,Broward County,1968,0,0,1203
12011050100,Florida,Broward County,4418,1,624,2654
12011050204,Florida,Broward County,5449,0,10,1407
12011050205,Florida,Broward County,2553,0,18,649
12011050206,Florida,Broward County,3202,0,0,1106
12011050207,Florida,Broward County,5388,1,296,3399
12011050208,Florida,Broward County,2892,0,132,3451
12011050301,Florida,Broward County,7929,0,NULL,3925
12011050306,Florida,Broward County,3940,0,NULL,2805
12011050307,Florida,Broward County,6993,0,NULL,3975
12011050308,Florida,Broward County,3149,0,0,1991
12011050309,Florida,Broward County,2156,0,NULL,1416
12011050310,Florida,Broward County,5345,0,59,2564
12011050311,Florida,Broward County,3610,0,NULL,1795
12011050312,Florida,Broward County,2508,0,NULL,1315
12011050401,Florida,Broward County,3526,0,713,1203
12011050402,Florida,Broward County,4373,0,1308,1774
12011050501,Florida,Broward County,3616,0,NULL,1298
12011050502,Florida,Broward County,4483,0,NULL,1847
12011050601,Florida,Broward County,3396,0,NULL,951
12011050602,Florida,Broward County,3558,0,NULL,1488
12011050701,Florida,Broward County,3777,0,NULL,1831
12011050702,Florida,Broward County,5979,0,NULL,3778
12011050800,Florida,Broward County,4856,1,2569,3307
12011050900,Florida,Broward County,5651,0,NULL,1757
12011051001,Florida,Broward County,3379,0,NULL,940
12011051002,Florida,Broward County,2626,0,NULL,482
12011060105,Florida,Broward County,6793,0,NULL,2436
12011060107,Florida,Broward County,3198,1,327,1583
12011060109,Florida,Broward County,2689,0,188,589
12011060111,Florida,Broward County,6025,0,50,1507
12011060112,Florida,Broward County,5967,0,NULL,3568
12011060113,Florida,Broward County,6655,0,0,2056
12011060114,Florida,Broward County,6781,0,NULL,1792
12011060115,Florida,Broward County,6320,0,10,2710
12011060116,Florida,Broward County,6651,0,NULL,2064
12011060117,Florida,Broward County,5882,0,NULL,3211
12011060118,Florida,Broward County,4797,0,530,744
12011060119,Florida,Broward County,4650,0,879,1679
12011060120,Florida,Broward County,6846,0,1,817
12011060121,Florida,Broward County,5501,0,38,543
12011060122,Florida,Broward County,4480,0,NULL,1508
12011060123,Florida,Broward County,3246,0,NULL,803
12011060124,Florida,Broward County,5555,0,43,2760
12011060125,Florida,Broward County,2121,0,NULL,585
12011060126,Florida,Broward County,4939,0,11,790
12011060127,Florida,Broward County,2666,0,NULL,1179
12011060128,Florida,Broward County,5555,0,105,1312
12011060203,Florida,Broward County,5271,0,NULL,4499
12011060206,Florida,Broward County,4660,0,NULL,2321
12011060207,Florida,Broward County,3718,0,NULL,1953
12011060208,Florida,Broward County,5312,0,NULL,2797
12011060209,Florida,Broward County,2750,0,NULL,1391
12011060210,Florida,Broward County,3038,0,NULL,716
12011060211,Florida,Broward County,4093,0,NULL,1520
12011060212,Florida,Broward County,3110,0,NULL,715
12011060213,Florida,Broward County,4607,0,NULL,1867
12011060302,Florida,Broward County,6806,0,NULL,4327
12011060303,Florida,Broward County,6042,0,NULL,4704
12011060304,Florida,Broward County,2828,0,NULL,2113
12011060305,Florida,Broward County,2194,0,NULL,1077
12011060306,Florida,Broward County,1880,0,NULL,761
12011060401,Florida,Broward County,4761,0,NULL,2546
12011060402,Florida,Broward County,6061,0,NULL,3451
12011060403,Florida,Broward County,5095,0,NULL,2488
12011060501,Florida,Broward County,5997,0,NULL,2344
12011060503,Florida,Broward County,4734,0,NULL,678
12011060504,Florida,Broward County,4510,0,NULL,861
12011060505,Florida,Broward County,4206,0,NULL,1624
12011060603,Florida,Broward County,4409,0,NULL,1333
12011060605,Florida,Broward County,3402,0,NULL,747
12011060606,Florida,Broward County,5379,0,NULL,1927
12011060607,Florida,Broward County,2757,0,NULL,351
12011060608,Florida,Broward County,6543,0,NULL,1871
12011060609,Florida,Broward County,3252,0,NULL,489
12011060700,Florida,Broward County,3159,0,57,767
12011060801,Florida,Broward County,1871,0,175,497
12011060802,Florida,Broward County,6270,0,14,3951
12011060900,Florida,Broward County,4266,0,208,436
12011061001,Florida,Broward County,6166,0,127,729
12011061002,Florida,Broward County,7847,0,64,2020
12011061100,Florida,Broward County,7362,1,2468,4923
12011070101,Florida,Broward County,7535,1,1054,5497
12011070102,Florida,Broward County,1197,0,47,483
12011070204,Florida,Broward County,5024,0,NULL,2158
12011070205,Florida,Broward County,5379,0,210,1281
12011070207,Florida,Broward County,6165,0,12,1734
12011070208,Florida,Broward County,7410,0,417,1570
12011070209,Florida,Broward County,4984,0,183,514
12011070210,Florida,Broward County,3228,0,NULL,1140
12011070211,Florida,Broward County,5863,0,36,1372
12011070304,Florida,Broward County,7451,0,295,1360
12011070305,Florida,Broward County,7975,0,67,2754
12011070306,Florida,Broward County,7906,0,311,462
12011070310,Florida,Broward County,3334,0,57,694
12011070311,Florida,Broward County,5833,0,21,1867
12011070312,Florida,Broward County,7040,0,0,651
12011070313,Florida,Broward County,10473,0,399,1161
12011070314,Florida,Broward County,5521,0,549,722
12011070315,Florida,Broward County,5154,0,123,661
12011070316,Florida,Broward County,5287,0,42,432
12011070317,Florida,Broward County,14665,0,2456,3634
12011070318,Florida,Broward County,6933,0,577,784
12011070319,Florida,Broward County,4494,0,74,389
12011070320,Florida,Broward County,7118,0,227,1252
12011070321,Florida,Broward County,2592,0,124,537
12011070322,Florida,Broward County,6364,0,1682,2462
12011070401,Florida,Broward County,6129,0,NULL,1001
12011070402,Florida,Broward County,3240,0,84,403
12011070403,Florida,Broward County,5139,0,NULL,1204
12011070404,Florida,Broward County,3127,0,NULL,586
12011070405,Florida,Broward County,4978,0,NULL,707
12011070501,Florida,Broward County,5452,0,22,519
12011070502,Florida,Broward County,6681,0,4,5056
12011070601,Florida,Broward County,4672,1,477,2087
12011070602,Florida,Broward County,4421,0,121,1699
12011080101,Florida,Broward County,4931,0,NULL,1834
12011080102,Florida,Broward County,4237,0,0,1813
12011080103,Florida,Broward County,1533,0,NULL,353
12011080200,Florida,Broward County,1172,0,72,274
12011080402,Florida,Broward County,2466,0,NULL,1050
12011080403,Florida,Broward County,6485,0,84,2779
12011080405,Florida,Broward County,2734,0,92,1536
12011080406,Florida,Broward County,5647,0,0,1735
12011080500,Florida,Broward County,6786,0,NULL,5100
12011090101,Florida,Broward County,6275,0,361,1024
12011090102,Florida,Broward County,1896,0,NULL,286
12011090200,Florida,Broward County,4007,0,270,813
12011090301,Florida,Broward County,2401,0,NULL,1341
12011090302,Florida,Broward County,6706,0,NULL,3060
12011090401,Florida,Broward County,4237,0,NULL,1892
12011090403,Florida,Broward County,3271,0,NULL,1405
12011090404,Florida,Broward County,4852,0,NULL,2786
12011090502,Florida,Broward County,6488,0,NULL,2011
12011090503,Florida,Broward County,2521,0,NULL,222
12011090504,Florida,Broward County,3473,0,NULL,1336
12011090601,Florida,Broward County,2687,0,101,890
12011090602,Florida,Broward County,6537,0,NULL,2378
12011090700,Florida,Broward County,7145,0,14,2047
12011090801,Florida,Broward County,3894,0,NULL,1759
12011090802,Florida,Broward County,3942,0,NULL,1314
12011090900,Florida,Broward County,4980,0,NULL,820
12011091000,Florida,Broward County,4082,0,NULL,1032
12011091100,Florida,Broward County,6647,0,NULL,3779
12011091201,Florida,Broward County,5160,0,NULL,2402
12011091202,Florida,Broward County,4630,0,NULL,2182
12011091300,Florida,Broward County,3881,0,NULL,862
12011091400,Florida,Broward County,5595,0,NULL,2987
12011091500,Florida,Broward County,5272,0,NULL,2814
12011091600,Florida,Broward County,6008,0,NULL,2965
12011091701,Florida,Broward County,3532,0,NULL,1363
12011091702,Florida,Broward County,4329,0,NULL,1408
12011091801,Florida,Broward County,5531,0,NULL,2746
12011091802,Florida,Broward County,2805,0,NULL,1265
12011091901,Florida,Broward County,3577,0,NULL,1287
12011091902,Florida,Broward County,4642,0,NULL,2307
12011092000,Florida,Broward County,3843,0,178,598
12011100101,Florida,Broward County,6992,0,NULL,2107
12011100103,Florida,Broward County,3548,0,NULL,1042
12011100104,Florida,Broward County,3098,0,NULL,743
12011100105,Florida,Broward County,2900,0,0,1222
12011100201,Florida,Broward County,1218,0,NULL,1232
12011100202,Florida,Broward County,4986,0,NULL,2617
12011100300,Florida,Broward County,6053,0,NULL,3799
12011100400,Florida,Broward County,5167,0,NULL,3866
12011100501,Florida,Broward County,936,0,NULL,579
12011100502,Florida,Broward County,3847,0,NULL,2414
12011100600,Florida,Broward County,5204,0,NULL,2107
12011100700,Florida,Broward County,5354,0,NULL,2732
12011100801,Florida,Broward County,3353,1,694,2417
12011100802,Florida,Broward County,7702,1,1257,5052
12011110100,Florida,Broward County,6315,0,NULL,1843
12011110301,Florida,Broward County,6601,0,NULL,1964
12011110302,Florida,Broward County,8755,0,6,777
12011110303,Florida,Broward County,4119,0,54,392
12011110307,Florida,Broward County,5276,0,NULL,1082
12011110308,Florida,Broward County,6392,0,0,1676
12011110309,Florida,Broward County,5860,0,NULL,1013
12011110311,Florida,Broward County,6417,0,NULL,2704
12011110312,Florida,Broward County,7225,0,NULL,2459
12011110313,Florida,Broward County,5496,0,NULL,2481
12011110319,Florida,Broward County,5488,0,NULL,1043
12011110320,Florida,Broward County,10159,0,NULL,4720
12011110321,Florida,Broward County,5262,0,210,1061
12011110322,Florida,Broward County,10952,0,1156,2075
12011110323,Florida,Broward County,5912,0,13,2870
12011110324,Florida,Broward County,15742,0,375,1767
12011110325,Florida,Broward County,23101,0,1371,5107
12011110326,Florida,Broward County,4521,0,NULL,1071
12011110327,Florida,Broward County,6420,0,489,1071
12011110328,Florida,Broward County,5517,0,27,792
12011110330,Florida,Broward County,3452,0,NULL,459
12011110331,Florida,Broward County,10270,0,161,1571
12011110332,Florida,Broward County,4484,0,8,839
12011110333,Florida,Broward County,6734,0,NULL,524
12011110334,Florida,Broward County,2323,1,661,1435
12011110335,Florida,Broward County,7569,0,260,5794
12011110336,Florida,Broward County,7165,0,NULL,1740
12011110337,Florida,Broward County,6736,0,NULL,2736
12011110338,Florida,Broward County,3787,0,NULL,1543
12011110339,Florida,Broward County,3875,0,NULL,875
12011110340,Florida,Broward County,6407,0,NULL,2274
12011110341,Florida,Broward County,3427,0,NULL,1029
12011110342,Florida,Broward County,10083,0,1,3462
12011110343,Florida,Broward County,8371,0,7,1093
12011110402,Florida,Broward County,4729,0,NULL,1386
12011110403,Florida,Broward County,4992,0,NULL,2108
12011110404,Florida,Broward County,5796,0,NULL,3137
12011110501,Florida,Broward County,3197,0,NULL,1278
12011110502,Florida,Broward County,5070,0,2,2518
12011110600,Florida,Broward County,4714,0,195,1985
12011980000,Florida,Broward County,20,0,0,0
12013010100,Florida,Calhoun County,2433,0,NULL,884
12013010200,Florida,Calhoun County,3996,0,392,1733
12013010300,Florida,Calhoun County,8196,0,2603,2140
12015010100,Florida,Charlotte County,3837,0,160,1035
12015010200,Florida,Charlotte County,4425,0,994,1695
12015010301,Florida,Charlotte County,3407,0,357,1061
12015010302,Florida,Charlotte County,3646,1,755,2055
12015010401,Florida,Charlotte County,2799,0,472,532
12015010402,Florida,Charlotte County,2133,0,120,366
12015010403,Florida,Charlotte County,1939,0,29,267
12015010404,Florida,Charlotte County,4223,0,389,490
12015010501,Florida,Charlotte County,4807,0,NULL,1924
12015010502,Florida,Charlotte County,7025,0,NULL,2798
12015020101,Florida,Charlotte County,6824,0,2196,2298
12015020103,Florida,Charlotte County,5429,0,734,1026
12015020104,Florida,Charlotte County,1910,0,0,467
12015020201,Florida,Charlotte County,7396,0,938,2589
12015020202,Florida,Charlotte County,6627,0,1705,2159
12015020301,Florida,Charlotte County,5498,0,235,1937
12015020302,Florida,Charlotte County,4044,0,515,1418
12015020303,Florida,Charlotte County,4552,1,756,2107
12015020400,Florida,Charlotte County,8006,0,1966,2994
12015020501,Florida,Charlotte County,4736,0,1645,1702
12015020502,Florida,Charlotte County,1483,0,269,419
12015020601,Florida,Charlotte County,2685,0,92,1201
12015020602,Florida,Charlotte County,3107,0,23,1454
12015020700,Florida,Charlotte County,4088,0,NULL,2841
12015020800,Florida,Charlotte County,4105,1,694,2374
12015020900,Florida,Charlotte County,5522,0,748,2424
12015021001,Florida,Charlotte County,1537,0,365,401
12015021002,Florida,Charlotte County,2767,1,495,851
12015021003,Florida,Charlotte County,3112,1,522,1364
12015030100,Florida,Charlotte County,5958,0,1376,2373
12015030200,Florida,Charlotte County,7493,0,880,2640
12015030301,Florida,Charlotte County,2726,0,209,566
12015030302,Florida,Charlotte County,3642,0,14,1133
12015030401,Florida,Charlotte County,1995,0,334,545
12015030402,Florida,Charlotte County,2157,0,444,491
12015030501,Florida,Charlotte County,3487,0,583,758
12015030502,Florida,Charlotte County,4971,0,NULL,2018
12015030503,Florida,Charlotte County,5880,0,1069,1044
12017450101,Florida,Citrus County,6495,0,1100,1966
12017450102,Florida,Citrus County,4586,0,NULL,1937
12017450201,Florida,Citrus County,3432,0,NULL,2342
12017450202,Florida,Citrus County,5013,1,1812,3452
12017450302,Florida,Citrus County,8622,0,3167,3119
12017450303,Florida,Citrus County,5954,0,NULL,3133
12017450304,Florida,Citrus County,9934,0,2106,2271
12017450400,Florida,Citrus County,6318,0,NULL,2655
12017450500,Florida,Citrus County,4498,0,NULL,1351
12017450601,Florida,Citrus County,5000,1,1912,2085
12017450602,Florida,Citrus County,4655,0,1273,1659
12017450701,Florida,Citrus County,6868,0,1018,1385
12017450702,Florida,Citrus County,7787,0,2230,3417
12017450800,Florida,Citrus County,4219,0,NULL,2454
12017450901,Florida,Citrus County,2882,0,1029,1104
12017450902,Florida,Citrus County,2568,0,471,977
12017451000,Florida,Citrus County,5941,1,915,2352
12017451101,Florida,Citrus County,2148,0,NULL,1142
12017451102,Florida,Citrus County,6174,0,NULL,2797
12017451200,Florida,Citrus County,4109,0,NULL,1475
12017451300,Florida,Citrus County,3306,0,NULL,1434
12017451400,Florida,Citrus County,4769,0,NULL,2117
12017451501,Florida,Citrus County,3312,0,NULL,1223
12017451502,Florida,Citrus County,6488,1,2856,3653
12017451601,Florida,Citrus County,5153,0,1102,1415
12017451602,Florida,Citrus County,6411,0,1131,1812
12017451700,Florida,Citrus County,4594,0,NULL,1426
12019030102,Florida,Clay County,8757,0,48,3847
12019030103,Florida,Clay County,5595,0,2142,2356
12019030104,Florida,Clay County,3968,0,16,1540
12019030201,Florida,Clay County,11524,0,1713,3978
12019030202,Florida,Clay County,9180,0,842,2130
12019030203,Florida,Clay County,15739,0,1475,3651
12019030301,Florida,Clay County,7621,0,307,3159
12019030303,Florida,Clay County,2919,0,NULL,715
12019030304,Florida,Clay County,4350,0,NULL,1755
12019030400,Florida,Clay County,2094,0,NULL,1138
12019030500,Florida,Clay County,2681,0,396,812
12019030600,Florida,Clay County,4451,0,415,1247
12019030701,Florida,Clay County,7048,0,148,1206
12019030702,Florida,Clay County,13596,0,217,3175
12019030703,Florida,Clay County,11714,0,779,1361
12019030801,Florida,Clay County,5251,0,705,1363
12019030802,Florida,Clay County,6597,0,221,1014
12019030902,Florida,Clay County,10153,0,263,2828
12019030903,Florida,Clay County,3919,0,5,1496
12019030904,Florida,Clay County,7253,0,491,1607
12019031101,Florida,Clay County,3269,0,748,756
12019031104,Florida,Clay County,3576,0,NULL,1518
12019031105,Florida,Clay County,2158,1,229,839
12019031106,Florida,Clay County,7052,0,NULL,2949
12019031107,Florida,Clay County,354,0,0,60
12019031108,Florida,Clay County,1443,1,286,432
12019031200,Florida,Clay County,14285,0,2346,3685
12019031300,Florida,Clay County,5756,0,NULL,1570
12019031400,Florida,Clay County,5311,1,2306,2134
12019031500,Florida,Clay County,3251,0,285,1086
12021000101,Florida,Collier County,1556,0,40,258
12021000102,Florida,Collier County,1473,0,NULL,261
12021000200,Florida,Collier County,1962,0,NULL,277
12021000301,Florida,Collier County,3057,0,9,281
12021000302,Florida,Collier County,1474,0,5,150
12021000401,Florida,Collier County,2776,0,94,418
12021000402,Florida,Collier County,1602,0,63,205
12021000500,Florida,Collier County,1730,0,237,264
12021000600,Florida,Collier County,1311,0,35,190
12021000700,Florida,Collier County,1184,0,NULL,903
12021010102,Florida,Collier County,5096,0,630,729
12021010105,Florida,Collier County,3952,0,630,1278
12021010106,Florida,Collier County,4065,0,54,504
12021010107,Florida,Collier County,4023,0,583,768
12021010108,Florida,Collier County,2576,0,480,866
12021010109,Florida,Collier County,2096,0,43,720
12021010110,Florida,Collier County,4262,0,57,1273
12021010205,Florida,Collier County,2559,0,15,196
12021010208,Florida,Collier County,3305,0,105,296
12021010209,Florida,Collier County,2138,0,227,297
12021010210,Florida,Collier County,3261,0,57,827
12021010211,Florida,Collier County,1737,0,NULL,597
12021010212,Florida,Collier County,5794,0,118,823
12021010213,Florida,Collier County,4008,0,189,389
12021010215,Florida,Collier County,2939,0,85,168
12021010300,Florida,Collier County,3968,0,NULL,1537
12021010401,Florida,Collier County,3724,0,677,921
12021010405,Florida,Collier County,11307,0,911,2432
12021010408,Florida,Collier County,2966,0,79,475
12021010410,Florida,Collier County,8157,0,244,5539
12021010411,Florida,Collier County,6632,0,203,4046
12021010412,Florida,Collier County,9212,0,NULL,2486
12021010413,Florida,Collier County,6584,0,0,866
12021010414,Florida,Collier County,7623,0,1127,1621
12021010415,Florida,Collier County,14589,0,623,3128
12021010416,Florida,Collier County,5883,0,709,1177
12021010417,Florida,Collier County,5195,0,27,1451
